evaluation,outcome,pearson_r,ci_low,ci_high
LOPO,valence,-0.1268252044500899,-0.239119887097036,-0.019488311959925828
LOPO,arousal,0.023449997437798232,-0.11085194247661415,0.15998849390120962
LOCO,valence,0.01181408120135657,-0.04530784694374158,0.06767595147742622
LOCO,arousal,0.22152519072151236,0.15791324794478118,0.284483383916182
