subset,outcome,n_clips,pearson_r,pearson_p,ci_low,ci_high,permutation_p
primary (>=5 raters),valence,76,0.04222283449976976,0.7172389978896547,-0.17520445696546888,0.2769568769929192,0.688
primary (>=5 raters),arousal,76,-0.06859564963189692,0.5560046063604145,-0.3023787572277255,0.16858623850358237,0.543
exploratory (<5 raters),valence,223,0.08825706036701511,0.18914385089248126,-0.04059977296610691,0.21446139586998753,0.194
exploratory (<5 raters),arousal,223,0.010485751939654786,0.8762616504266709,-0.13550504471637861,0.1472798655439841,0.874
