outcome,model,n_tracks,mae,rmse,pearson_r,spearman_rho,ccc,mean_fold_ccc,std_fold_ccc,mean_fold_rmse,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_rho_ci_low,spearman_rho_ci_high,ccc_ci_low,ccc_ci_high,bootstrap_resamples
arousal,dummy_mean,767,0.15315528235265863,0.18491003231807907,-0.06479935294356251,-0.06838575350865156,-0.0020997562302320864,-1.0691222610368056e-31,2.138244522073611e-31,0.18490052943541496,0.1454667191155927,0.16057450379181565,0.17664999316575664,0.19257879256799065,-0.13442580729654163,0.006174171558085445,-0.1395908131789904,0.0037231629922885937,-0.0043787103798300945,0.00020357099509329325,2000
arousal,elastic_net,767,0.07753459252242821,0.09936073805286921,0.8432457424982184,0.8493895509273384,0.8344477714107742,0.8334623376159233,0.01525051125518601,0.09930742738104867,0.07326491476600752,0.08196623209082998,0.0941300041856154,0.1046734182558149,0.8229279187529379,0.8626042739418637,0.8288862685494395,0.8678480410839553,0.8137170161428199,0.8540748675646535,2000
arousal,ridge,767,0.07814026257956647,0.1000375373628174,0.8407347196556632,0.84560791951293,0.8304287736068477,0.8294401043112805,0.015132795819450552,0.09998697565021122,0.0740496910957955,0.08277913019989082,0.09481553882889696,0.10574121320735566,0.8186531534217764,0.8594698735540092,0.8222002140485201,0.8649518752699807,0.8071001805771165,0.8497202516548173,2000
arousal,svr_rbf,767,0.08323773768884486,0.10588742132183782,0.8203135429756585,0.8285657864956469,0.7958419904786234,0.7947548200394384,0.010726057024642272,0.10587702459548129,0.07871856681235596,0.08800530615446236,0.10008629730238566,0.1117455017130709,0.7975403514665536,0.8421012374509221,0.8035280823271436,0.849182242991076,0.7718454580412538,0.8180536912036463,2000
valence,dummy_mean,767,0.13423110788316026,0.16208329472758956,-0.06689546899366565,-0.07680235883942915,-0.002230660164627606,2.2859166059752802e-32,2.6032917938584555e-31,0.16171734519636413,0.1277991482393078,0.14082191593548163,0.1552598267982759,0.168905383181752,-0.1361840240825428,0.0018555314054934803,-0.14470323608532554,-0.00782100489964519,-0.004518034109318171,6.0313948634903734e-05,2000
valence,elastic_net,767,0.09028049291662055,0.11570722515188785,0.7012265087869732,0.7012740595812043,0.6737656211533122,0.6742587488372488,0.030235332035283693,0.11524638589383615,0.08502368068664419,0.0952708797422512,0.10904181380142457,0.12180128144634181,0.6649549245178185,0.735345526837702,0.663480064082336,0.7379100919722167,0.6358443192554237,0.709073966993499,2000
valence,ridge,767,0.09032463445928426,0.11595150717098308,0.7006569299388928,0.6983698829802862,0.675872681763681,0.676803947386329,0.02893788554528928,0.11546605478534103,0.08532697065735488,0.09551982009159522,0.10933383691211178,0.12266138010518302,0.6608025983291353,0.7360801250466552,0.6575767899233874,0.7338120498208988,0.635458428711657,0.7127068273870055,2000
valence,svr_rbf,767,0.09158554244519862,0.11612998847922452,0.6968756536588064,0.69873780990532,0.6559342868004695,0.6567015540827585,0.015818395420030298,0.11581038967966276,0.08663174844854685,0.09658206481591745,0.1099785046879437,0.122193096202499,0.6615565903926802,0.7286100117464932,0.6617283132700426,0.7311523061017141,0.6199098382389374,0.6879106117567099,2000
